date,BR,CN,DE,GB,IN,JP,KR,MX,SG,US
2020-10-11,2.2,3.0,2.8,4.0,1.6,5.6,2.6,3.4,1.8,4.0
2020-10-18,3.2,3.6,4.0,5.4,2.0,7.2,4.6,4.2,2.4,5.0
2020-10-25,3.2,3.2,4.6,5.0,2.6,7.4,4.8,4.2,2.8,4.8
2020-11-01,3.6,3.4,4.8,5.2,2.8,7.6,4.6,5.0,2.6,4.8
2020-11-08,3.4,5.4,5.4,5.4,2.6,7.8,5.0,4.6,2.8,5.6
2020-11-15,4.4,5.2,7.4,7.0,4.0,10.4,6.0,6.2,4.2,8.4
2020-11-22,5.6,7.4,7.4,8.0,4.8,11.0,8.4,6.8,5.8,9.0
2020-11-29,4.4,6.0,6.8,6.4,3.8,8.4,6.0,6.4,4.8,8.6
2020-12-06,3.6,4.2,5.0,5.4,3.4,8.0,5.0,5.6,3.8,7.2
2020-12-13,5.2,6.0,8.4,8.4,5.4,10.6,5.8,8.2,5.6,10.2
2020-12-20,5.2,7.2,9.8,8.6,5.2,9.8,6.2,8.8,6.0,9.8
2020-12-27,8.6,12.8,14.6,13.0,7.2,13.2,7.8,12.2,8.2,15.6
2021-01-03,14.8,19.0,23.0,22.6,11.4,19.4,15.2,19.0,15.4,24.4
2021-01-10,13.2,16.4,19.6,21.4,11.0,18.8,15.8,17.6,17.4,22.8
2021-01-17,8.6,11.6,14.2,13.8,7.8,13.8,10.4,13.0,12.2,15.2
2021-01-24,8.0,9.6,12.2,13.4,8.0,13.2,8.4,10.8,10.6,15.4
2021-01-31,8.0,10.4,11.8,12.8,7.2,13.8,8.8,11.0,9.8,14.8
2021-02-07,12.8,18.0,19.2,20.4,10.8,22.6,17.0,17.4,16.4,23.2
2021-02-14,12.4,22.4,20.2,19.2,9.6,26.0,16.4,18.2,16.2,23.4
2021-02-21,12.4,20.0,21.2,21.2,10.6,26.2,18.2,19.2,20.0,22.2
2021-02-28,9.2,13.2,13.4,13.8,7.2,17.6,11.0,12.0,11.4,15.8
2021-03-07,10.6,11.4,14.2,14.2,7.0,17.8,11.2,11.2,11.4,15.4
2021-03-14,9.4,13.2,13.2,14.0,6.6,18.8,11.4,10.4,11.8,14.6
2021-03-21,8.6,8.8,11.6,12.2,6.0,14.6,11.0,11.0,10.2,13.8
2021-03-28,9.4,7.2,11.6,12.2,6.8,16.2,11.4,12.0,10.2,13.8
2021-04-04,8.6,9.8,11.0,11.8,6.4,18.2,14.8,11.0,9.6,12.4
2021-04-11,12.0,10.4,13.6,14.8,8.6,24.2,15.6,10.8,12.4,17.4
2021-04-18,13.6,12.8,16.8,18.6,9.4,23.6,21.4,14.4,16.6,21.0
2021-04-25,11.4,11.0,13.2,15.0,9.2,21.2,16.4,10.8,14.2,15.6
2021-05-02,10.4,13.6,13.6,16.0,10.0,18.4,14.8,12.0,14.2,19.6
2021-05-09,12.8,17.0,16.6,20.4,14.8,25.0,16.6,15.6,18.8,22.4
2021-05-16,17.4,26.0,25.0,27.4,24.6,30.0,25.4,23.6,27.8,28.0
2021-05-23,14.2,17.4,19.8,20.2,17.6,22.4,19.6,17.6,18.6,20.8
2021-05-30,10.6,9.6,13.6,13.8,11.4,16.8,13.6,11.0,13.2,14.6
2021-06-06,10.6,9.8,13.6,14.4,10.4,15.8,13.4,13.8,13.6,15.2
2021-06-13,9.4,10.0,10.6,10.6,8.2,13.2,11.0,11.2,10.2,12.8
2021-06-20,11.4,11.6,12.8,13.0,9.6,15.8,13.2,14.0,14.4,14.8
2021-06-27,8.4,7.8,9.6,10.0,7.8,12.4,10.2,11.0,9.8,10.6
2021-07-04,8.0,7.4,8.6,8.6,6.0,11.6,8.4,9.6,7.6,9.6
2021-07-11,7.6,6.6,7.4,8.6,5.2,10.4,9.0,9.4,7.2,9.0
2021-07-18,8.2,6.0,9.2,9.8,6.2,9.8,9.0,10.0,8.4,10.4
2021-07-25,9.6,7.0,10.4,11.6,6.0,12.8,10.4,10.6,8.6,11.4
2021-08-01,9.2,5.6,10.6,10.4,5.2,10.8,9.4,9.8,8.2,10.4
2021-08-08,10.6,6.0,12.2,11.4,5.8,11.6,9.2,11.0,9.4,11.8
2021-08-15,9.8,6.2,9.8,9.8,5.6,13.0,8.8,10.2,8.0,10.2
2021-08-22,9.8,7.8,9.0,9.4,6.0,12.8,8.8,10.4,8.4,10.0
2021-08-29,9.4,8.8,9.4,9.6,5.6,13.8,9.0,9.2,9.0,10.2
2021-09-05,9.6,9.4,11.4,10.8,6.2,15.4,10.6,12.0,11.2,12.8
2021-09-12,7.2,6.4,8.4,8.2,5.4,12.0,8.4,10.0,7.6,9.2
2021-09-19,8.6,8.4,9.4,9.6,5.8,12.2,9.4,11.4,8.4,10.6
2021-09-26,7.2,8.4,7.8,8.0,4.8,10.6,8.6,9.0,7.0,9.0
2021-10-03,8.8,9.8,9.8,9.4,5.8,11.8,8.4,10.4,8.4,10.8
2021-10-10,9.2,9.8,11.4,10.6,6.2,13.4,9.6,10.4,9.6,11.8
2021-10-17,11.2,10.0,13.8,12.8,7.6,15.8,11.6,12.2,11.8,15.2
2021-10-24,8.8,9.0,11.8,11.4,6.6,13.6,9.4,10.4,10.2,13.8
2021-10-31,8.2,7.8,10.0,10.4,6.2,12.4,8.8,10.8,10.0,12.6
