date,iso3,country,interest
2020-10-11,USA,US,12
2020-10-18,USA,US,18
2020-10-25,USA,US,18
2020-11-01,USA,US,19
2020-11-08,USA,US,21
2020-11-15,USA,US,33
2020-11-22,USA,US,34
2020-11-29,USA,US,33
2020-12-06,USA,US,25
2020-12-13,USA,US,41
2020-12-20,USA,US,39
2020-12-27,USA,US,64
2021-01-03,USA,US,97
2021-01-10,USA,US,93
2021-01-17,USA,US,58
2021-01-24,USA,US,58
2021-01-31,USA,US,51
2021-02-07,USA,US,91
2021-02-14,USA,US,91
2021-02-21,USA,US,87
2021-02-28,USA,US,60
2021-03-07,USA,US,56
2021-03-14,USA,US,53
2021-03-21,USA,US,50
2021-03-28,USA,US,49
2021-04-04,USA,US,41
2021-04-11,USA,US,60
2021-04-18,USA,US,75
2021-04-25,USA,US,52
2021-05-02,USA,US,51
2021-05-09,USA,US,66
2021-05-16,USA,US,100
2021-05-23,USA,US,71
2021-05-30,USA,US,49
2021-06-06,USA,US,55
2021-06-13,USA,US,44
2021-06-20,USA,US,51
2021-06-27,USA,US,35
2021-07-04,USA,US,31
2021-07-11,USA,US,29
2021-07-18,USA,US,34
2021-07-25,USA,US,39
2021-08-01,USA,US,30
2021-08-08,USA,US,37
2021-08-15,USA,US,31
2021-08-22,USA,US,31
2021-08-29,USA,US,26
2021-09-05,USA,US,40
2021-09-12,USA,US,27
2021-09-19,USA,US,35
2021-09-26,USA,US,28
2021-10-03,USA,US,35
2021-10-10,USA,US,40
2021-10-17,USA,US,53
2021-10-24,USA,US,45
2021-10-31,USA,US,37
2021-11-07,USA,US,42
2021-11-14,USA,US,41
2021-11-21,USA,US,37
2021-11-28,USA,US,39
2021-12-05,USA,US,42
2021-12-12,USA,US,37
2021-12-19,USA,US,33
2021-12-26,USA,US,34
2022-01-02,USA,US,39
2022-01-09,USA,US,38
2022-01-16,USA,US,42
2022-01-23,USA,US,57
2022-01-30,USA,US,37
2022-02-06,USA,US,38
2022-02-13,USA,US,31
2022-02-20,USA,US,38
2022-02-27,USA,US,35
2022-03-06,USA,US,32
2022-03-13,USA,US,27
2022-03-20,USA,US,27
2022-03-27,USA,US,29
2022-04-03,USA,US,26
2022-04-10,USA,US,25
2022-04-17,USA,US,22
2022-04-24,USA,US,24
2022-05-01,USA,US,24
2022-05-08,USA,US,58
2022-05-15,USA,US,40
2022-05-22,USA,US,28
2022-05-29,USA,US,26
2022-06-05,USA,US,26
2022-06-12,USA,US,79
2022-06-19,USA,US,53
2022-06-26,USA,US,39
2022-07-03,USA,US,34
2022-07-10,USA,US,31
2022-07-17,USA,US,31
2022-07-24,USA,US,26
2022-07-31,USA,US,23
2022-08-07,USA,US,22
2022-08-14,USA,US,21
2022-08-21,USA,US,21
2022-08-28,USA,US,21
2022-09-04,USA,US,21
2022-09-11,USA,US,22
