date,iso3,country,interest
2025-10-12,USA,US,39
2025-10-12,USA,US,7
2025-10-12,USA,US,1
2025-10-12,USA,US,4
2025-10-12,USA,US,3
2025-10-12,MEX,MX,39
2025-10-12,MEX,MX,5
2025-10-12,MEX,MX,0
2025-10-12,MEX,MX,2
2025-10-12,MEX,MX,4
2025-10-12,BRA,BR,40
2025-10-12,BRA,BR,3
2025-10-12,BRA,BR,0
2025-10-12,BRA,BR,2
2025-10-12,BRA,BR,3
2025-10-12,CHN,CN,72
2025-10-12,CHN,CN,0
2025-10-12,CHN,CN,0
2025-10-12,CHN,CN,13
2025-10-12,CHN,CN,0
2025-10-12,JPN,JP,72
2025-10-12,JPN,JP,7
2025-10-12,JPN,JP,0
2025-10-12,JPN,JP,13
2025-10-12,JPN,JP,10
2025-10-12,DEU,DE,79
2025-10-12,DEU,DE,11
2025-10-12,DEU,DE,0
2025-10-12,DEU,DE,2
2025-10-12,DEU,DE,9
2025-10-12,GBR,GB,57
2025-10-12,GBR,GB,9
2025-10-12,GBR,GB,1
2025-10-12,GBR,GB,6
2025-10-12,GBR,GB,4
2025-10-12,IND,IN,52
2025-10-12,IND,IN,7
2025-10-12,IND,IN,0
2025-10-12,IND,IN,2
2025-10-12,IND,IN,3
2025-10-12,KOR,KR,58
2025-10-12,KOR,KR,15
2025-10-12,KOR,KR,0
2025-10-12,KOR,KR,6
2025-10-12,KOR,KR,6
2025-10-12,SGP,SG,48
2025-10-12,SGP,SG,11
2025-10-12,SGP,SG,0
2025-10-12,SGP,SG,2
2025-10-12,SGP,SG,5
